Active Growth Period,After Harvest Regrowth Rate,Bloat,Coppice Potential,Fall Conspicuous,Fire Resistant,Flower Color,Flower Conspicuous,Foliage Color,Foliage Porosity Summer,Foliage Porosity Winter,Foliage Texture,Fruit/Seed Color,Fruit/Seed Conspicuous,Growth Form,Growth Rate,"Height, Mature (feet)",Known Allelopath,Leaf Retention,Lifespan,Low Growing Grass,Nitrogen Fixation,Resprout Ability,Shape and Orientation,Toxicity,Id,C:N Ratio,"Height at 20 Years, Maximum (feet)"
Summer,,None,No,No,No,Green,No,Green,Porous,Porous,Fine,Brown,No,Rhizomatous,Rapid,,No,No,Short,No,None,No,Prostrate,None,16105,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,72389,,
Summer,Slow,None,No,No,No,Red,Yes,Green,Moderate,Porous,Medium,Black,No,Single Crown,Moderate,3.9,No,No,,No,None,No,Erect,None,61462,Medium,
"Spring, Summer, Fall",Slow,None,No,No,No,Yellow,No,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Slow,2.0,No,No,Moderate,Yes,None,No,Erect,None,25028,Low,
Summer,Slow,None,No,No,No,White,Yes,Green,Moderate,Porous,Medium,Black,No,Single Crown,Moderate,3.2,No,No,Short,No,None,No,Erect,None,61516,,
,,,,,,,,,,,,,,,,,,,,,,,,,54898,,
Summer,,None,No,No,Yes,Red,No,Green,Porous,Porous,Medium,Black,No,Single Crown,Rapid,1.0,No,No,Moderate,No,None,No,Prostrate,None,61548,,
Spring and Summer,,None,Yes,No,Yes,Blue,No,Green,Dense,Porous,Medium,White,No,Single Stem,Rapid,65.0,No,No,Short,No,None,Yes,Rounded,None,67496,Medium,40
,,,,,,,,,,,,,,,,,,,,,,,,,61592,,
,,,,,,,,,,,,,,,,,,,,,,,,,14320,,
Spring and Summer,,None,No,No,No,White,Yes,Green,Dense,Moderate,Medium,Red,Yes,Single Stem,Moderate,24.0,No,No,Long,No,None,Yes,Erect,Slight,90536,Medium,24
Spring and Summer,,None,No,No,No,White,Yes,Green,Dense,Porous,Medium,Red,Yes,Multiple Stem,Moderate,12.0,No,No,Long,No,None,Yes,Semi-Erect,Slight,90538,Medium,12
Spring and Summer,,None,Yes,No,No,White,Yes,Green,Dense,Porous,Medium,Red,Yes,Single Stem,Rapid,30.0,No,No,Short,No,None,Yes,Erect,Moderate,90621,High,25
Spring and Summer,,Low,Yes,No,No,White,Yes,Green,Moderate,Porous,Medium,Black,Yes,Multiple Stem,Rapid,80.0,No,No,Moderate,No,None,Yes,Erect,Severe,90650,High,40
Spring and Summer,,None,No,Yes,No,White,Yes,Green,Dense,Porous,Medium,Black,Yes,Multiple Stem,Rapid,25.0,Yes,No,Short,No,None,Yes,Erect,Severe,90686,High,15
Spring and Summer,Slow,None,No,No,No,Purple,Yes,Gray-Green,Moderate,Porous,Coarse,Green,No,Stoloniferous,Rapid,1.5,No,No,Moderate,No,None,No,Decumbent,None,46300,Medium,
Spring and Summer,Slow,None,No,No,No,Green,No,Dark Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,6.6,No,No,Moderate,No,None,No,Erect,Slight,13351,,
,,,,,,,,,,,,,,,,,,,,,,,,,46333,,
,,,,,,,,,,,,,,,,,,,,,,,,,46345,,
,,,,,,,,,,,,,,,,,,,,,,,,,46359,,
,,,,,,,,,,,,,,,,,,,,,,,,,46373,,
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Slow,100.0,No,No,Long,No,None,Yes,Erect,None,70172,High,25
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Rapid,100.0,No,No,Long,No,None,Yes,Erect,None,70193,High,30
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Rapid,70.0,No,No,Long,No,None,Yes,Erect,None,70219,High,30
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,No,Single Stem,Moderate,75.0,No,No,Long,No,None,Yes,Erect,None,70250,High,35
,,,,,,,,,,,,,,,,,,,,,,,,,70314,,
Spring and Summer,,None,No,Yes,No,Yellow,No,Dark Green,Moderate,Porous,Coarse,Brown,No,Single Stem,Slow,25.0,No,No,Long,No,None,Yes,Erect,None,70367,High,20
Spring and Summer,,None,No,Yes,No,Yellow,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Moderate,80.0,No,No,Moderate,No,None,Yes,Erect,None,70379,High,35
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Green,Dense,Moderate,Medium,Brown,No,Colonizing,Rapid,100.0,No,No,Moderate,No,None,Yes,Erect,None,70412,High,40
Spring and Summer,,None,No,Yes,No,Yellow,No,Green,Dense,Porous,Fine,Brown,Yes,Single Stem,Rapid,100.0,No,No,Long,No,None,Yes,Erect,None,70432,High,60
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Green,Moderate,Porous,Coarse,Brown,Yes,Single Stem,Slow,73.0,No,No,Long,No,None,Yes,Erect,None,70387,High,25
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Medium,Brown,Yes,Single Stem,Moderate,81.0,No,No,Long,No,None,Yes,Erect,None,70448,High,36
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,No,Single Stem,Slow,60.0,No,No,Long,No,None,Yes,Erect,Moderate,70488,High,25
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,Yes,Single Stem,Moderate,80.0,No,No,Moderate,No,None,Yes,Erect,None,70523,High,25
Spring and Summer,Slow,None,No,No,No,Yellow,No,Green,Porous,Porous,Medium,Black,No,Multiple Stem,Moderate,2.8,No,No,Short,No,None,No,Erect,None,73194,,
Spring,Slow,None,No,No,No,Yellow,Yes,Gray-Green,Moderate,Porous,Medium,Yellow,No,Single Stem,Rapid,2.5,No,No,Moderate,No,None,No,Erect,None,73366,,
,,,,,,,,,,,,,,,,,,,,,,,,,92934,,
,,,,,,,,,,,,,,,,,,,,,,,,,65346,,
Spring and Summer,,None,No,Yes,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,Yes,Rhizomatous,Moderate,8.0,No,No,Moderate,No,None,Yes,Erect,None,92952,High,8
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Green,Dense,Porous,Coarse,Brown,Yes,Rhizomatous,Moderate,12.0,No,No,Short,No,None,Yes,Erect,None,92963,High,12
Spring and Summer,,None,No,Yes,Yes,Red,Yes,Dark Green,Dense,Dense,Coarse,Brown,No,Multiple Stem,Slow,25.0,Yes,Yes,Long,No,None,Yes,Semi-Erect,Moderate,65369,High,15
Spring and Summer,,None,No,No,No,Purple,Yes,Green,Moderate,Moderate,Medium,Brown,No,Multiple Stem,Moderate,10.0,No,No,Moderate,No,None,Yes,Erect,None,65380,High,4
,,,,,,,,,,,,,,,,,,,,,,,,,65385,,
,,,,,,,,,,,,,,,,,,,,,,,,,84572,,
Spring,,None,No,No,No,Red,Yes,Green,Moderate,Porous,Medium,,No,Multiple Stem,Slow,16.0,No,No,Moderate,No,None,No,Erect,None,65397,,13
,,,,,,,,,,,,,,,,,,,,,,,,,88312,,
Spring and Summer,,None,No,No,No,White,Yes,Green,Dense,Moderate,Medium,Red,Yes,Multiple Stem,Moderate,5.0,No,No,Moderate,No,None,Yes,Erect,None,90793,,5
,,,,,,,,,,,,,,,,,,,,,,,,,82146,,
Summer,,Medium,No,No,No,Red,Yes,Green,Moderate,Porous,Fine,Yellow,Yes,Rhizomatous,Moderate,8.2,No,No,Long,No,None,Yes,Erect,None,90894,,8
Spring,,None,Yes,No,No,White,Yes,Green,Porous,Porous,Medium,Black,Yes,Multiple Stem,Rapid,60.0,No,No,Short,No,Medium,Yes,Erect,None,82163,Medium,40
Spring and Summer,,None,No,Yes,No,Purple,Yes,Green,Dense,Moderate,Medium,Red,Yes,Rhizomatous,Moderate,6.0,No,No,Moderate,No,None,Yes,Semi-Erect,None,90954,Medium,6
Spring and Summer,,None,No,No,No,White,Yes,Green,Moderate,Porous,Coarse,Black,Yes,Thicket Forming,Rapid,6.0,No,No,Short,No,None,Yes,Erect,None,91009,Low,6
,,,,,,,,,,,,,,,,,,,,,,,,,49040,,
Spring and Summer,,None,No,No,No,White,Yes,Green,Dense,Porous,Coarse,Black,Yes,Thicket Forming,Rapid,3.0,No,No,Short,No,None,Yes,Prostrate,None,91167,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,39449,,
Spring,,None,No,No,No,White,Yes,Gray-Green,Dense,Moderate,Medium,Black,Yes,Single Stem,Moderate,2.0,No,No,Moderate,No,None,Yes,Prostrate,None,91250,,
"Fall, Winter and Spring",,None,No,No,No,Orange,Yes,Green,Porous,Porous,Coarse,Brown,No,Single Stem,Rapid,1.0,No,No,Short,No,None,No,Semi-Erect,None,39478,Medium,
Spring,Moderate,None,No,Yes,No,Yellow,Yes,Gray-Green,Dense,Dense,Coarse,Brown,No,Rhizomatous,Rapid,8.2,No,No,Short,No,None,No,Erect,None,39504,,
Spring and Summer,,None,No,No,No,White,Yes,Green,Moderate,Porous,Coarse,Purple,Yes,Thicket Forming,Rapid,6.0,No,No,Short,No,None,Yes,Erect,None,91407,Low,5
Spring and Summer,,None,No,No,No,Purple,Yes,Green,Dense,Porous,Coarse,Red,Yes,Thicket Forming,Rapid,5.0,No,No,Short,No,None,Yes,Semi-Erect,None,91409,High,5
,,,,,,,,,,,,,,,,,,,,,,,,,39530,,
,,,,,,,,,,,,,,,,,,,,,,,,,25340,,
Spring and Summer,,None,Yes,Yes,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Blue,No,Single Stem,Moderate,75.0,No,No,Moderate,No,None,Yes,Irregular,None,71455,High,24
,,,,,,,,,,,,,,,,,,,,,,,,,72090,,
,,,,,,,,,,,,,,,,,,,,,,,,,72290,,
Summer,Moderate,None,No,Yes,No,Green,No,Green,Porous,Porous,Coarse,White,No,Bunch,Rapid,9.8,No,No,Moderate,No,None,No,Erect,None,25363,High,
Spring and Summer,,None,Yes,Yes,No,Yellow,No,Dark Green,Dense,Moderate,Coarse,Brown,No,Multiple Stem,Rapid,10.0,No,No,Moderate,No,None,Yes,Semi-Erect,None,67871,High,10
Spring,Slow,None,No,No,No,Yellow,Yes,Green,Moderate,Porous,Medium,,No,Bunch,Moderate,4.9,No,No,Moderate,No,None,No,Erect,None,15829,,
,,,,,,,,,,,,,,,,,,,,,,,,,46470,,
,,,,,,,,,,,,,,,,,,,,,,,,,92324,,
Spring and Summer,,None,Yes,No,No,,No,Green,Moderate,Porous,Medium,,No,Multiple Stem,Rapid,100.0,No,No,Short,No,None,Yes,Erect,None,68068,Medium,50
Spring and Summer,,None,No,Yes,No,White,Yes,Green,Dense,Porous,Medium,Blue,Yes,Multiple Stem,Rapid,7.0,No,No,Moderate,No,None,Yes,Erect,None,42834,High,7
,,,,,,,,,,,,,,,,,,,,,,,,,42863,,
,,,,,,,,,,,,,,,,,,,,,,,,,92484,,
Spring,Slow,None,No,No,No,Brown,No,Dark Green,Moderate,Porous,Coarse,Brown,No,Bunch,Moderate,5.9,No,No,Long,No,None,No,Erect,None,19732,,
Spring,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Coarse,Yellow,Yes,Bunch,Moderate,4.9,No,No,Long,No,None,No,Erect,None,19736,,
,,,,,,,,,,,,,,,,,,,,,,,,,46588,,
Spring and Summer,Slow,None,No,No,No,Red,No,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Moderate,4.0,No,No,Long,No,None,No,Erect,None,19768,High,
Summer,Slow,None,No,No,Yes,Blue,No,Dark Green,Dense,Moderate,Coarse,Brown,No,Rhizomatous,Moderate,4.9,No,No,Long,No,None,No,Erect,None,19652,Medium,
Summer and Fall,Moderate,None,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,3.5,No,No,Long,No,None,No,Erect,None,25478,Medium,
"Spring, Summer, Fall",Slow,None,No,No,No,Red,No,Green,Dense,Porous,Coarse,Green,No,Rhizomatous,Rapid,9.0,No,No,Long,No,None,No,Erect,None,19669,High,
,,,,,,,,,,,,,,,,,,,,,,,,,87946,,
,,,,,,,,,,,,,,,,,,,,,,,,,82342,,
Spring and Summer,Slow,Low,No,No,No,Yellow,Yes,Green,Moderate,,Medium,Brown,No,Single Stem,Rapid,6.6,No,No,Moderate,No,Medium,No,Erect,None,82366,,
,,,,,,,,,,,,,,,,,,,,,,,,,12726,,
,,,,,,,,,,,,,,,,,,,,,,,,,88052,,
Spring and Summer,Slow,None,No,No,No,Blue,Yes,Green,Moderate,Porous,Fine,Black,No,Bunch,Moderate,2.0,No,No,Short,No,None,No,Erect,None,27691,High,
,,,,,,,,,,,,,,,,,,,,,,,,,58049,,
,,,,,,,,,,,,,,,,,,,,,,,,,27760,,
Summer,,None,No,No,No,Yellow,Yes,Green,Moderate,Porous,Coarse,Brown,No,,Rapid,6.0,No,No,,No,None,No,,None,39867,,
,,,,,,,,,,,,,,,,,,,,,,,,,58258,,
,,,,,,,,,,,,,,,,,,,,,,,,,91720,,
,,,,,,,,,,,,,,,,,,,,,,,,,39887,,
,,,,,,,,,,,,,,,,,,,,,,,,,58330,,
Spring and Summer,,None,No,Yes,No,White,Yes,Green,Moderate,Porous,Fine,Orange,Yes,Single Stem,Moderate,40.0,No,No,Moderate,No,None,Yes,Erect,None,91750,High,30
,,,,,,,,,,,,,,,,,,,,,,,,,39948,,
Spring and Summer,Slow,None,No,Yes,No,Yellow,Yes,Dark Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,3.0,No,No,Short,No,None,No,Erect,None,39952,High,
Spring and Summer,Moderate,None,No,No,No,Yellow,Yes,Green,Dense,Porous,Coarse,Brown,No,Rhizomatous,Rapid,3.5,No,No,Long,No,None,No,Erect,None,39957,High,
Summer,Slow,None,No,Yes,No,Yellow,Yes,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,8.2,No,No,Moderate,No,None,No,Erect,None,39998,,
,,,,,,,,,,,,,,,,,,,,,,,,,40024,,
Spring and Summer,Rapid,None,No,No,No,Yellow,Yes,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Rapid,2.0,No,No,Short,No,None,No,Decumbent,None,40070,Medium,
Summer and Fall,Slow,None,No,No,No,Yellow,No,Green,Dense,Porous,Medium,Brown,No,Bunch,Rapid,6.5,No,No,Long,No,None,No,Erect,None,25695,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,40081,,
,,,,,,,,,,,,,,,,,,,,,,,,,40102,,
,,,,,,,,,,,,,,,,,,,,,,,,,40105,,
Spring and Summer,Moderate,None,No,No,No,Yellow,Yes,Green,Dense,Porous,Coarse,Brown,No,Rhizomatous,Rapid,3.3,No,No,Moderate,No,None,No,Erect,None,40120,High,
,,,,,,,,,,,,,,,,,,,,,,,,,40183,,
Spring and Summer,,None,No,No,No,White,Yes,Green,Dense,Moderate,Fine,Brown,No,Multiple Stem,Moderate,3.0,No,No,Moderate,No,None,Yes,Semi-Erect,None,91786,Medium,3
Spring,Slow,None,No,No,No,Green,No,Green,Moderate,Porous,Medium,Green,No,Colonizing,Moderate,3.2,No,No,Moderate,No,None,No,Erect,None,26962,,
Spring and Summer,Slow,None,No,No,No,White,Yes,Green,Porous,Porous,Fine,Brown,No,Single Crown,Moderate,1.5,No,No,Short,No,None,No,Erect,None,30717,Low,
Spring and Summer,Slow,None,No,No,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,No,Bunch,Moderate,2.3,No,No,Moderate,No,None,No,Erect,None,25851,Medium,
Spring and Summer,Slow,None,No,No,No,Purple,Yes,Green,Moderate,Porous,Coarse,Brown,No,Single Crown,Moderate,25.0,No,No,Moderate,No,None,No,Erect,None,46776,High,
,,,,,,,,,,,,,,,,,,,,,,,,,40476,,
"Spring, Summer, Fall",Slow,None,No,Yes,No,Purple,Yes,Gray-Green,Moderate,Moderate,Medium,Brown,No,Rhizomatous,Moderate,5.0,No,No,Short,No,None,No,Erect,None,40483,Medium,
Spring,Slow,None,No,No,Yes,Purple,Yes,Green,Moderate,Porous,Coarse,,No,Rhizomatous,Moderate,2.0,No,No,Moderate,No,None,No,Erect,None,16426,,
,,,,,,,,,,,,,,,,,,,,,,,,,40672,,
"Spring, Summer, Fall",Slow,None,No,Yes,No,White,Yes,Green,Porous,Porous,Coarse,Brown,No,Single Crown,Moderate,5.0,No,No,Short,No,None,No,Semi-Erect,None,40703,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,40770,,
"Spring, Summer, Fall",Moderate,None,No,Yes,No,Purple,Yes,Green,Porous,Porous,Fine,Brown,No,Rhizomatous,Moderate,6.0,No,No,Short,No,None,No,Erect,None,40782,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,40799,,
Spring and Summer,,None,No,Yes,Yes,White,No,Green,Dense,Moderate,Coarse,Red,Yes,Rhizomatous,Moderate,2.0,No,No,Moderate,No,None,Yes,Erect,None,42905,High,2
,,,,,,,,,,,,,,,,,,,,,,,,,40835,,
"Spring, Summer, Fall",Moderate,None,No,Yes,No,Purple,Yes,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,3.0,No,No,Short,No,None,No,Erect,None,40863,Medium,
"Spring, Summer, Fall",Slow,None,No,Yes,No,Blue,Yes,Green,Moderate,Porous,Medium,Brown,No,Rhizomatous,Slow,8.1,No,No,Moderate,No,None,No,Erect,None,40911,Medium,
Spring and Fall,Moderate,None,No,No,No,Yellow,Yes,Green,Porous,Porous,Coarse,Brown,No,Single Crown,Rapid,0.5,No,No,Short,No,None,No,Prostrate,None,41140,Low,
Spring and Summer,Slow,None,No,No,No,Purple,Yes,White-Gray,Porous,Porous,Medium,Brown,No,Single Stem,Moderate,3.3,No,No,Moderate,No,None,No,Erect,None,46862,,
,,,,,,,,,,,,,,,,,,,,,,,,,73609,,
Spring,Slow,None,No,No,No,Brown,No,Yellow-Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,1.5,No,No,Moderate,No,None,No,Erect,None,14837,,
Spring and Summer,,None,No,No,No,,No,Green,Dense,Dense,Fine,Brown,No,Single Stem,Slow,50.0,No,Yes,Long,No,None,No,Conical,None,15299,High,25
,,,,,,,,,,,,,,,,,,,,,,,,,14854,,
,,,,,,,,,,,,,,,,,,,,,,,,,73633,,
,,,,,,,,,,,,,,,,,,,,,,,,,73640,,
,,,,,,,,,,,,,,,,,,,,,,,,,73649,,
Spring and Summer,,None,Yes,Yes,No,Yellow,Yes,Green,Dense,Porous,Medium,Brown,No,Single Stem,Moderate,100.0,No,No,Moderate,No,None,Yes,Erect,None,66729,High,60
,,,,,,,,,,,,,,,,,,,,,,,,,92518,,
,,,,,,,,,,,,,,,,,,,,,,,,,73664,,
Spring and Summer,Rapid,None,No,No,No,Yellow,No,Green,Dense,Moderate,Medium,Brown,No,Bunch,Rapid,6.0,No,No,Long,No,None,No,Erect,None,26161,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,46917,,
,,,,,,,,,,,,,,,,,,,,,,,,,29208,,
Summer,Rapid,None,No,Yes,No,Yellow,No,Green,Moderate,Porous,Medium,Brown,Yes,Bunch,Moderate,2.5,No,No,Short,No,None,No,Erect,None,26132,Low,
,,,,,,,,,,,,,,,,,,,,,,,,,29217,,
,,,,,,,,,,,,,,,,,,,,,,,,,29251,,
,,,,,,,,,,,,,,,,,,,,,,,,,29259,,
Spring,Slow,None,No,No,No,Blue,Yes,Green,Porous,Porous,Medium,Black,No,Single Stem,Rapid,1.1,No,No,Short,No,None,No,Erect,None,17027,,
Spring and Summer,,None,No,No,No,Yellow,No,Dark Green,Dense,Dense,Fine,Brown,No,Single Stem,Slow,105.0,No,Yes,Long,No,None,No,Erect,None,15604,High,22
Spring and Summer,Moderate,None,No,No,No,Brown,No,Green,Porous,Porous,Coarse,Brown,Yes,Rhizomatous,Rapid,5.0,No,No,Moderate,No,None,No,Erect,None,27001,High,
Spring and Summer,,None,Yes,Yes,No,Green,No,Green,Dense,Porous,Coarse,Brown,No,Single Stem,Rapid,120.0,No,No,Moderate,No,None,Yes,Erect,None,70987,High,50
Spring and Summer,,None,Yes,No,No,Yellow,No,Green,Moderate,Porous,Coarse,Brown,No,Single Stem,Rapid,85.0,No,No,Moderate,No,None,Yes,Erect,None,71006,High,45
Summer,,None,No,No,Yes,,No,Green,,,Fine,Green,No,Stoloniferous,Rapid,1.0,No,No,Short,No,None,No,Decumbent,None,15946,Low,
Spring and Summer,,None,No,No,No,White,No,Green,Porous,Porous,Medium,Blue,Yes,Multiple Stem,Moderate,2.0,No,No,Moderate,No,None,Yes,Erect,None,65417,Medium,1
Spring and Summer,,None,No,Yes,No,White,No,Green,Dense,Moderate,Medium,Blue,Yes,Multiple Stem,Moderate,12.0,No,No,Moderate,No,None,Yes,Erect,None,65446,Medium,12
Spring and Summer,Slow,None,No,No,Yes,Blue,Yes,Green,Porous,Porous,Fine,Yellow,No,Rhizomatous,Rapid,0.8,No,No,Short,No,None,No,Decumbent,None,52579,Medium,
,,,,,,,,,,,,,,,,,,,,,,,,,41704,,
,,,,,,,,,,,,,,,,,,,,,,,,,47330,,
Summer,Slow,None,No,Yes,No,Purple,Yes,Dark Green,Moderate,Porous,Medium,Brown,No,Multiple Stem,Moderate,6.6,No,No,Short,No,None,No,Erect,None,41717,,
Spring and Summer,,None,Yes,Yes,No,White,Yes,Green,Moderate,Porous,Medium,Red,Yes,Multiple Stem,Slow,6.0,No,No,Long,No,None,Yes,Erect,None,42933,Medium,6
,,,,,,,,,,,,,,,,,,,,,,,,,69604,,
,,,,,,,,,,,,,,,,,,,,,,,,,42949,,
Spring and Summer,,None,Yes,Yes,No,White,Yes,Green,Moderate,Porous,Coarse,Black,Yes,Multiple Stem,Slow,10.0,No,No,Long,No,None,Yes,Erect,None,42980,High,10
,,,,,,,,,,,,,,,,,,,,,,,,,87511,,
,,,,,,,,,,,,,,,,,,,,,,,,,42987,,
Spring and Summer,,None,Yes,No,No,White,Yes,Green,Moderate,Porous,Medium,Blue,No,Multiple Stem,Slow,15.0,No,No,Long,No,None,Yes,Erect,None,42988,Medium,15
,,,,,,,,,,,,,,,,,,,,,,,,,69719,,
Spring and Summer,,None,Yes,Yes,No,White,Yes,Green,Moderate,Porous,Medium,Black,Yes,Multiple Stem,Slow,16.0,No,No,Long,No,None,Yes,Erect,None,43016,Medium,16
Spring and Summer,Slow,None,No,No,No,Yellow,Yes,Dark Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,1.3,No,No,Short,No,None,No,Decumbent,None,69760,Low,
Spring and Summer,,None,No,No,No,White,No,Green,Dense,Porous,Fine,Blue,No,Multiple Stem,Moderate,45.0,No,No,Long,No,None,Yes,Climbing,None,87526,High,
Spring,Moderate,None,No,No,No,Purple,Yes,Green,Porous,Porous,Medium,Brown,No,Rhizomatous,Moderate,0.3,No,No,Short,No,None,No,Semi-Erect,None,69816,Low,
,,,,,,,,,,,,,,,,,,,,,,,,,69824,,
"Spring, Summer, Fall",,None,No,Yes,No,White,No,Green,Moderate,Porous,Fine,Black,Yes,Multiple Stem,Moderate,83.0,No,No,Long,No,None,Yes,Climbing,None,87550,High,
,,,,,,,,,,,,,,,,,,,,,,,,,91870,,
,,,,,,,,,,,,,,,,,,,,,,,,,73676,,
,,,,,,,,,,,,,,,,,,,,,,,,,27210,,
,,,,,,,,,,,,,,,,,,,,,,,,,74665,,
Spring and Summer,Rapid,None,No,Yes,No,Yellow,No,Green,Dense,Moderate,Coarse,Yellow,No,Rhizomatous,Rapid,9.0,No,No,Moderate,Yes,None,No,Erect,None,26483,Medium,
